,Country,EdLevel,YearsCodePro,Salary
2,16,2,5.0,40205.0
3,9,0,17.0,215232.0
8,8,2,6.0,49056.0
10,16,0,2.0,60307.0
11,17,0,10.0,194400.0
12,17,0,5.0,65000.0
14,17,2,5.0,110000.0
16,9,0,4.0,19224.0
17,1,2,10.0,202623.0
18,1,1,22.0,51192.0
21,7,2,4.0,34126.0
22,3,1,20.0,97605.0
25,5,2,9.0,90647.0
26,17,0,5.0,106960.0
28,17,2,14.0,130000.0
31,17,0,21.0,102000.0
34,10,2,5.0,83256.0
40,17,1,15.0,130000.0
41,9,1,3.0,68160.0
45,9,2,3.0,5124.0
47,17,0,5.0,135000.0
48,5,1,25.0,106644.0
49,5,1,4.0,51192.0
51,10,0,3.0,38856.0
53,17,0,10.0,170000.0
54,9,0,7.0,103705.0
55,17,2,5.0,141000.0
56,9,0,3.0,55163.0
57,8,0,8.0,46704.0
59,5,0,2.0,63986.0
60,3,0,4.0,66372.0
62,4,3,14.0,74651.0
63,17,0,12.0,150000.0
66,2,2,20.0,24924.0
69,9,1,15.0,38808.0
73,5,0,2.0,63986.0
74,13,0,6.0,50220.0
76,17,2,20.0,160000.0
79,4,2,10.0,87448.0
83,9,1,20.0,150000.0
84,16,0,7.0,69102.0
85,17,0,7.0,95000.0
87,12,0,8.0,95979.0
88,5,2,6.0,71451.0
89,13,0,5.0,57288.0
90,4,2,5.0,63986.0
91,4,2,19.0,63986.0
93,17,2,5.0,166000.0
94,16,3,3.0,52769.0
95,17,0,4.0,92000.0
96,9,0,6.0,143484.0
97,17,1,22.0,450000.0
99,15,1,7.0,12024.0
101,5,2,1.0,79983.0
102,16,0,4.0,47743.0
103,17,2,17.0,200000.0
105,7,0,5.0,93420.0
107,17,1,5.0,35000.0
108,16,0,7.0,75384.0
109,12,1,8.0,44790.0
111,16,0,10.0,78525.0
112,10,2,20.0,76313.0
113,17,2,25.0,130000.0
114,9,1,12.0,26868.0
115,17,0,3.0,110000.0
120,3,0,4.0,66372.0
121,13,2,4.0,81672.0
122,9,0,3.0,45300.0
123,7,1,12.0,21120.0
126,3,0,5.0,78084.0
130,7,1,15.0,614268.0
132,17,0,5.0,98000.0
133,17,0,24.0,144000.0
135,16,0,20.0,123127.0
138,9,0,10.0,197292.0
143,9,1,15.0,103500.0
144,3,0,1.0,35138.0
145,16,2,11.0,80409.0
151,6,0,12.0,15480.0
153,17,2,11.0,200000.0
154,16,0,7.0,904608.0
155,17,0,1.0,132000.0
156,9,0,9.0,63984.0
158,5,3,7.0,92136.0
159,9,2,9.0,32712.0
160,8,0,3.0,38388.0
161,5,0,23.0,165298.0
163,9,0,7.0,106644.0
164,17,0,15.0,136000.0
165,16,0,1.0,331692.0
167,16,2,5.0,54025.0
170,17,2,45.0,400000.0
171,17,0,0.5,130000.0
172,16,0,18.0,136947.0
178,10,1,6.0,41625.0
182,17,2,15.0,200000.0
183,16,2,7.0,118729.0
185,16,0,3.0,497532.0
187,5,1,40.0,159966.0
188,16,1,10.0,678456.0
191,9,2,2.0,358320.0
192,17,0,3.0,110000.0
193,17,1,1.0,70000.0
196,6,0,5.0,58037.0
202,8,2,7.0,53322.0
203,4,2,4.0,52789.0
204,17,2,4.0,100000.0
205,17,1,10.0,120000.0
207,16,0,8.0,60307.0
210,17,0,9.0,100000.0
211,11,0,0.5,10392.0
212,16,0,0.5,27641.0
214,17,0,5.0,75000.0
215,9,2,5.0,63984.0
217,16,0,15.0,213587.0
218,4,2,15.0,85315.0
221,9,2,11.0,160008.0
222,17,0,14.0,147000.0
223,17,0,2.0,172000.0
224,16,0,7.0,59050.0
225,17,0,14.0,101000.0
228,17,1,9.0,120000.0
232,17,1,19.0,160000.0
233,17,0,4.0,175000.0
234,2,0,3.0,42440.0
237,3,0,5.0,136647.0
238,8,0,37.0,62387.0
239,17,1,46.0,100000.0
241,4,2,3.0,58654.0
242,3,1,0.5,46850.0
243,5,2,20.0,68252.0
244,9,0,0.5,12500.0
245,12,2,3.0,26128.0
246,17,0,5.0,75000.0
247,17,0,22.0,250000.0
253,8,1,12.0,49056.0
254,3,1,3.0,75507.0
258,10,2,2.0,27756.0
259,9,0,11.0,197292.0
260,13,2,6.0,73140.0
261,16,0,3.0,27641.0
262,3,0,2.0,43727.0
264,9,0,15.0,190925.0
266,9,2,7.0,114324.0
267,10,2,10.0,50875.0
268,9,0,3.0,8244.0
271,16,0,7.0,96742.0
272,14,2,20.0,155129.0
273,17,0,23.0,140000.0
274,16,1,25.0,125639.0
275,9,1,6.0,96852.0
276,16,0,2.0,42089.0
277,8,0,12.0,93846.0
278,17,0,2.0,67000.0
279,2,0,15.0,86304.0
280,17,0,18.0,315000.0
282,8,1,1.0,213287.0
284,7,1,3.0,35192.0
285,1,1,13.0,66119.0
287,5,2,3.0,71451.0
288,17,0,3.0,150000.0
290,17,0,3.0,83000.0
292,13,0,10.0,71916.0
294,4,2,5.0,34126.0
296,3,2,7.0,70276.0
297,3,2,14.0,140551.0
298,10,2,4.0,41628.0
299,17,0,8.0,104000.0
302,17,0,1.0,155000.0
304,16,1,7.0,26384.0
307,17,0,10.0,206000.0
311,12,1,15.0,49056.0
312,17,0,3.0,45000.0
315,17,0,2.0,130000.0
316,17,1,10.0,230000.0
317,17,0,12.0,155000.0
318,9,1,5.0,38392.0
322,16,2,19.0,138203.0
323,1,1,24.0,74651.0
325,16,0,4.0,75384.0
330,3,1,10.0,74180.0
331,17,0,4.0,130000.0
333,9,2,12.0,194303.0
335,16,0,24.0,81666.0
337,17,0,1.0,80000.0
340,9,0,15.0,53322.0
341,4,0,20.0,44796.0
342,9,0,21.0,56897.0
344,17,0,4.0,240000.0
346,5,1,1.0,44790.0
347,17,2,0.5,100000.0
348,17,0,7.0,75000.0
351,1,0,3.0,43512.0
352,8,0,4.0,51192.0
354,13,2,10.0,68256.0
356,17,2,3.0,120000.0
357,17,0,20.0,160000.0
358,9,0,3.0,45899.0
359,17,3,32.0,175000.0
360,9,0,5.0,75684.0
361,17,0,11.0,150000.0
362,13,1,7.0,60948.0
363,17,1,14.0,120000.0
364,17,2,20.0,210000.0
366,17,3,40.0,350000.0
367,17,0,4.0,109000.0
368,17,0,4.0,70000.0
370,17,1,13.0,150000.0
372,17,0,5.0,100000.0
373,2,0,19.0,74784.0
374,9,0,2.0,13560.0
378,7,1,1.0,14460.0
379,5,0,1.0,153564.0
381,17,0,15.0,96000.0
382,17,1,2.0,52800.0
383,16,0,10.0,50256.0
385,17,0,22.0,160000.0
386,9,0,6.0,42228.0
387,17,0,9.0,124000.0
388,16,2,12.0,125639.0
390,4,2,5.0,44790.0
391,17,0,20.0,205000.0
392,9,1,14.0,53748.0
393,8,0,6.0,54384.0
394,17,1,4.0,100000.0
395,9,2,0.5,69318.0
396,5,1,2.0,21504.0
397,16,0,9.0,55281.0
400,4,2,5.0,52255.0
402,9,0,4.0,111204.0
403,16,0,7.0,56538.0
404,17,0,1.0,76000.0
405,17,0,8.0,115000.0
406,17,1,8.0,200000.0
408,9,0,5.0,252000.0
410,9,2,2.0,103248.0
411,5,1,3.0,40956.0
419,17,0,12.0,86000.0
422,17,0,5.0,165000.0
423,17,0,9.0,350000.0
424,9,0,23.0,92780.0
426,17,1,0.5,160000.0
427,17,2,5.0,145000.0
429,17,1,6.0,80000.0
431,12,1,6.0,31993.0
432,17,0,3.0,96300.0
433,16,0,31.0,62820.0
435,5,0,1.0,57588.0
436,17,1,1.0,55000.0
439,16,0,12.0,126142.0
440,17,0,4.0,158000.0
441,17,0,9.0,350000.0
443,17,3,5.0,90000.0
445,12,0,10.0,25594.0
446,12,1,0.5,21329.0
447,17,0,6.0,150000.0
449,5,3,25.0,127972.0
454,16,2,4.0,87948.0
458,13,2,7.0,92436.0
460,17,1,1.0,75000.0
463,9,0,9.0,150660.0
465,16,0,22.0,108050.0
466,4,0,5.0,36259.0
467,3,0,1.0,89016.0
468,17,1,8.0,120000.0
469,16,0,3.0,100511.0
470,17,2,6.0,140000.0
473,8,0,2.0,42228.0
474,17,2,11.0,320000.0
475,0,0,19.0,106157.0
478,16,3,39.0,75384.0
481,9,0,1.0,17063.0
483,17,2,20.0,200000.0
485,9,1,5.0,24420.0
486,9,0,1.0,6216.0
488,17,0,17.0,160000.0
490,17,2,5.0,110000.0
491,10,0,5.0,27750.0
493,8,0,4.0,62712.0
494,5,0,6.0,63986.0
496,0,0,1.0,67940.0
497,16,0,15.0,125639.0
498,17,2,8.0,300000.0
499,17,0,6.0,300000.0
500,17,1,4.0,53000.0
501,14,2,10.0,110659.0
507,17,0,3.0,72000.0
508,3,0,21.0,101509.0
509,3,0,3.0,62467.0
510,17,0,3.0,50000.0
512,4,2,9.0,106644.0
515,3,0,27.0,54659.0
520,9,0,2.0,38388.0
524,16,2,4.0,60307.0
525,6,0,13.0,30948.0
527,17,0,5.0,262000.0
528,16,0,9.0,50256.0
534,3,0,4.0,58563.0
536,16,1,6.0,56538.0
538,9,2,11.0,50123.0
539,17,0,1.0,200000.0
543,16,1,28.0,113075.0
544,9,1,3.0,13128.0
546,9,0,2.0,23436.0
547,17,0,3.0,90000.0
549,5,0,0.5,614268.0
550,17,0,6.0,750000.0
552,9,3,3.0,7908.0
553,17,0,2.0,70000.0
554,17,0,2.0,171000.0
557,4,2,1.0,26661.0
559,17,2,14.0,86000.0
560,17,1,9.0,105000.0
561,5,1,7.0,47990.0
562,17,0,2.0,78000.0
563,4,1,5.0,72518.0
565,17,0,22.0,187000.0
570,6,0,5.0,64486.0
571,17,0,1.0,78337.0
572,10,3,14.0,27756.0
574,0,1,10.0,81387.0
576,9,0,8.0,23436.0
577,17,0,11.0,215000.0
